Cancer_Pair,Interaction_ID,Gene1,Gene2
BRCA_vs_LUAD,ABCA8_PKD1L2,ABCA8,PKD1L2
BRCA_vs_LUAD,ABCA8_SGK2,ABCA8,SGK2
BRCA_vs_LUAD,ABCA9_PKD1L2,ABCA9,PKD1L2
BRCA_vs_LUAD,AC009236.1_FABP4,AC009236.1,FABP4
BRCA_vs_LUAD,AC009236.1_GPX3,AC009236.1,GPX3
BRCA_vs_LUAD,AC009236.1_TMEM132C,AC009236.1,TMEM132C
BRCA_vs_LUAD,AC093110.1_FGF2,AC093110.1,FGF2
BRCA_vs_LUAD,AC093110.1_PDZD2,AC093110.1,PDZD2
BRCA_vs_LUAD,AC093110.1_TGFBR3,AC093110.1,TGFBR3
BRCA_vs_LUAD,AC093904.4_BCAS1,AC093904.4,BCAS1
BRCA_vs_LUAD,AC104211.1_ADH1A,AC104211.1,ADH1A
BRCA_vs_LUAD,AC104211.1_CD36,AC104211.1,CD36
BRCA_vs_LUAD,AC112777.1_SPC24,AC112777.1,SPC24
BRCA_vs_LUAD,AC112777.1_UBE2C,AC112777.1,UBE2C
BRCA_vs_LUAD,AC131097.2_BICDL1,AC131097.2,BICDL1
BRCA_vs_LUAD,AC131097.2_HCN2,AC131097.2,HCN2
BRCA_vs_LUAD,ADAM8_TFR2,ADAM8,TFR2
BRCA_vs_LUAD,ADAMTS14_CLSPN,ADAMTS14,CLSPN
BRCA_vs_LUAD,ADAMTS14_GRM4,ADAMTS14,GRM4
BRCA_vs_LUAD,ADAMTS9-AS1_MME,ADAMTS9-AS1,MME
BRCA_vs_LUAD,ADH1A_CDO1,ADH1A,CDO1
BRCA_vs_LUAD,ADH1B_PKD1L2,ADH1B,PKD1L2
BRCA_vs_LUAD,ADRA1A_AP001528.2,ADRA1A,AP001528.2
BRCA_vs_LUAD,ADRA1A_CD36,ADRA1A,CD36
BRCA_vs_LUAD,ADRA1A_CDO1,ADRA1A,CDO1
BRCA_vs_LUAD,ADRA1A_MME,ADRA1A,MME
BRCA_vs_LUAD,ADRA1A_TGFBR3,ADRA1A,TGFBR3
BRCA_vs_LUAD,ADRA1A_TNS1,ADRA1A,TNS1
BRCA_vs_LUAD,ADRB2_CAV1,ADRB2,CAV1
BRCA_vs_LUAD,ADRB2_FGF2,ADRB2,FGF2
BRCA_vs_LUAD,ADRB2_MYZAP,ADRB2,MYZAP
BRCA_vs_LUAD,ANGPTL1_PKD1L2,ANGPTL1,PKD1L2
BRCA_vs_LUAD,ANGPTL1_SIX2,ANGPTL1,SIX2
BRCA_vs_LUAD,ANLN_PBK,ANLN,PBK
BRCA_vs_LUAD,AP001528.2_MYZAP,AP001528.2,MYZAP
BRCA_vs_LUAD,AP001528.2_NMUR1,AP001528.2,NMUR1
BRCA_vs_LUAD,AP001528.2_PALMD,AP001528.2,PALMD
BRCA_vs_LUAD,AP001528.2_SGK2,AP001528.2,SGK2
BRCA_vs_LUAD,AP001528.2_TGFBR3,AP001528.2,TGFBR3
BRCA_vs_LUAD,ASPA_MME,ASPA,MME
BRCA_vs_LUAD,AURKB_MKI67,AURKB,MKI67
BRCA_vs_LUAD,AURKB_NEIL3,AURKB,NEIL3
BRCA_vs_LUAD,BHMT2_CDO1,BHMT2,CDO1
BRCA_vs_LUAD,BHMT2_CHRDL1,BHMT2,CHRDL1
BRCA_vs_LUAD,BHMT2_LINC00968,BHMT2,LINC00968
BRCA_vs_LUAD,BHMT2_MYOC,BHMT2,MYOC
BRCA_vs_LUAD,BHMT2_TRHDE,BHMT2,TRHDE
BRCA_vs_LUAD,BIRC5_H3C10,BIRC5,H3C10
BRCA_vs_LUAD,BMP8A_CPNE7,BMP8A,CPNE7
BRCA_vs_LUAD,BMP8A_GPRIN1,BMP8A,GPRIN1
BRCA_vs_LUAD,BTNL9_SGK2,BTNL9,SGK2
BRCA_vs_LUAD,BUB1B_CPNE7,BUB1B,CPNE7
BRCA_vs_LUAD,CAV1_TGFBR3,CAV1,TGFBR3
BRCA_vs_LUAD,CAVIN2_TGFBR3,CAVIN2,TGFBR3
BRCA_vs_LUAD,CD300LG_MYZAP,CD300LG,MYZAP
BRCA_vs_LUAD,CDC20_NEIL3,CDC20,NEIL3
BRCA_vs_LUAD,CDCA3_DLGAP5,CDCA3,DLGAP5
BRCA_vs_LUAD,CDCA3_NEIL3,CDCA3,NEIL3
BRCA_vs_LUAD,CDCA5_NEIL3,CDCA5,NEIL3
BRCA_vs_LUAD,CDO1_CHRDL1,CDO1,CHRDL1
BRCA_vs_LUAD,CDO1_SVEP1,CDO1,SVEP1
BRCA_vs_LUAD,CHRDL1_PKD1L2,CHRDL1,PKD1L2
BRCA_vs_LUAD,CHRDL1_SGK2,CHRDL1,SGK2
BRCA_vs_LUAD,COL10A1_CST1,COL10A1,CST1
BRCA_vs_LUAD,COL11A1_CPNE7,COL11A1,CPNE7
BRCA_vs_LUAD,COL11A1_FAM189A2,COL11A1,FAM189A2
BRCA_vs_LUAD,COL17A1_PAFAH1B3,COL17A1,PAFAH1B3
BRCA_vs_LUAD,CPNE7_DEPDC1,CPNE7,DEPDC1
BRCA_vs_LUAD,CPNE7_DLGAP5,CPNE7,DLGAP5
BRCA_vs_LUAD,CPNE7_ERCC6L,CPNE7,ERCC6L
BRCA_vs_LUAD,CPNE7_KIF26B,CPNE7,KIF26B
BRCA_vs_LUAD,CPNE7_KIF4A,CPNE7,KIF4A
BRCA_vs_LUAD,CPNE7_KNL1,CPNE7,KNL1
BRCA_vs_LUAD,CPNE7_MKI67,CPNE7,MKI67
BRCA_vs_LUAD,CPNE7_RRM2,CPNE7,RRM2
BRCA_vs_LUAD,CPNE7_SGO1,CPNE7,SGO1
BRCA_vs_LUAD,CPNE7_SKA3,CPNE7,SKA3
BRCA_vs_LUAD,CSF3_KLF4,CSF3,KLF4
BRCA_vs_LUAD,CST1_LINC01614,CST1,LINC01614
BRCA_vs_LUAD,CST1_MMP11,CST1,MMP11
BRCA_vs_LUAD,CST1_SALL4,CST1,SALL4
BRCA_vs_LUAD,CTHRC1_ITM2A,CTHRC1,ITM2A
BRCA_vs_LUAD,CTHRC1_MMRN1,CTHRC1,MMRN1
BRCA_vs_LUAD,DEPDC1B_UBE2C,DEPDC1B,UBE2C
BRCA_vs_LUAD,DMBX1_MMP13,DMBX1,MMP13
BRCA_vs_LUAD,ESCO2_TK1,ESCO2,TK1
BRCA_vs_LUAD,EXO1_UBE2C,EXO1,UBE2C
BRCA_vs_LUAD,FGF2_MME,FGF2,MME
BRCA_vs_LUAD,FOXM1_IQGAP3,FOXM1,IQGAP3
BRCA_vs_LUAD,FOXM1_SPC24,FOXM1,SPC24
BRCA_vs_LUAD,GPRIN1_HOXC11,GPRIN1,HOXC11
BRCA_vs_LUAD,GSTM5_H3C10,GSTM5,H3C10
BRCA_vs_LUAD,H2BC6_VSTM2L,H2BC6,VSTM2L
BRCA_vs_LUAD,HES6_S100P,HES6,S100P
BRCA_vs_LUAD,HMMR_NEIL3,HMMR,NEIL3
BRCA_vs_LUAD,JPH3_MMRN1,JPH3,MMRN1
BRCA_vs_LUAD,KIF18B_NEIL3,KIF18B,NEIL3
BRCA_vs_LUAD,LINC02185_SIX2,LINC02185,SIX2
BRCA_vs_LUAD,MME_TGFBR3,MME,TGFBR3
BRCA_vs_LUAD,MME_TRHDE,MME,TRHDE
BRCA_vs_LUAD,MMP13_NEK2,MMP13,NEK2
BRCA_vs_LUAD,MMRN1_ZIC2,MMRN1,ZIC2
BRCA_vs_LUAD,MNX1-AS1_NPW,MNX1-AS1,NPW
BRCA_vs_LUAD,MUC5B_RMI2,MUC5B,RMI2
BRCA_vs_LUAD,MYBL2_NEIL3,MYBL2,NEIL3
BRCA_vs_LUAD,MYOC_SIX2,MYOC,SIX2
BRCA_vs_LUAD,MYZAP_NMUR1,MYZAP,NMUR1
BRCA_vs_LUAD,NAT8L_SCN4B,NAT8L,SCN4B
BRCA_vs_LUAD,NAT8L_SGK2,NAT8L,SGK2
BRCA_vs_LUAD,NCAPG_PKMYT1,NCAPG,PKMYT1
BRCA_vs_LUAD,NEIL3_PKMYT1,NEIL3,PKMYT1
BRCA_vs_LUAD,NEIL3_PTTG1,NEIL3,PTTG1
BRCA_vs_LUAD,NEIL3_RRM2,NEIL3,RRM2
BRCA_vs_LUAD,NEIL3_TROAP,NEIL3,TROAP
BRCA_vs_LUAD,NUF2_UBE2C,NUF2,UBE2C
BRCA_vs_LUAD,PALMD_SERTM1,PALMD,SERTM1
BRCA_vs_LUAD,PCOLCE2_SIX2,PCOLCE2,SIX2
BRCA_vs_LUAD,PDZD2_SGK2,PDZD2,SGK2
BRCA_vs_LUAD,PDZD2_TNS1,PDZD2,TNS1
BRCA_vs_LUAD,PDZD2_TRHDE,PDZD2,TRHDE
BRCA_vs_LUAD,PKD1L2_SVEP1,PKD1L2,SVEP1
BRCA_vs_LUAD,PKD1L2_TMEM132C,PKD1L2,TMEM132C
BRCA_vs_LUAD,PLAC1_PPP2R2C,PLAC1,PPP2R2C
BRCA_vs_LUAD,SGK2_SVEP1,SGK2,SVEP1
BRCA_vs_LUAD,SGK2_TNS1,SGK2,TNS1
BRCA_vs_LUAD,TNS1_TRHDE,TNS1,TRHDE
BRCA_vs_HNSC,CLEC3B_FN1,CLEC3B,FN1
BRCA_vs_HNSC,FN1_GDF10,FN1,GDF10
BRCA_vs_HNSC,FN1_SCARA5,FN1,SCARA5
BRCA_vs_HNSC,FN1_TNXB,FN1,TNXB
BRCA_vs_HNSC,HOXC11_PLAC1,HOXC11,PLAC1
BRCA_vs_HNSC,INHBA_ZIC2,INHBA,ZIC2
BRCA_vs_HNSC,LRRC15_PI16,LRRC15,PI16
BRCA_vs_STAD,AC015849.5_HOXC11,AC015849.5,HOXC11
BRCA_vs_STAD,ADRA1A_GHR,ADRA1A,GHR
BRCA_vs_STAD,AKR1C1_FRMD1,AKR1C1,FRMD1
BRCA_vs_STAD,AL356489.2_ASPA,AL356489.2,ASPA
BRCA_vs_STAD,AOC3_PPP1R1A,AOC3,PPP1R1A
BRCA_vs_STAD,APOB_CD36,APOB,CD36
BRCA_vs_STAD,ASPA_PPP1R1A,ASPA,PPP1R1A
BRCA_vs_STAD,ASPA_SPX,ASPA,SPX
BRCA_vs_STAD,ATP1A2_PPP1R1A,ATP1A2,PPP1R1A
BRCA_vs_STAD,BHMT2_DPT,BHMT2,DPT
BRCA_vs_STAD,BHMT2_PPP1R1A,BHMT2,PPP1R1A
BRCA_vs_STAD,CADM3-AS1_INHBA,CADM3-AS1,INHBA
BRCA_vs_STAD,CCDC69_PPP1R1A,CCDC69,PPP1R1A
BRCA_vs_STAD,CD36_PCK1,CD36,PCK1
BRCA_vs_STAD,CDO1_TMEM132C,CDO1,TMEM132C
BRCA_vs_STAD,CLSPN_SDS,CLSPN,SDS
BRCA_vs_STAD,COL11A1_SLC7A14,COL11A1,SLC7A14
BRCA_vs_STAD,CPNE7_LRRC37A9P,CPNE7,LRRC37A9P
BRCA_vs_STAD,DES_PDK4,DES,PDK4
BRCA_vs_STAD,DPT_GLP2R,DPT,GLP2R
BRCA_vs_STAD,DPT_ITIH5,DPT,ITIH5
BRCA_vs_STAD,DPT_MYOC,DPT,MYOC
BRCA_vs_STAD,DPT_PCOLCE2,DPT,PCOLCE2
BRCA_vs_STAD,DPT_PGM5-AS1,DPT,PGM5-AS1
BRCA_vs_STAD,DPT_PLIN4,DPT,PLIN4
BRCA_vs_STAD,DPT_SORBS1,DPT,SORBS1
BRCA_vs_STAD,E2F7_EXO1,E2F7,EXO1
BRCA_vs_STAD,E2F7_RECQL4,E2F7,RECQL4
BRCA_vs_STAD,EXO1_RECQL4,EXO1,RECQL4
BRCA_vs_STAD,GDF10_INHBA,GDF10,INHBA
BRCA_vs_STAD,GDF10_PGM5-AS1,GDF10,PGM5-AS1
BRCA_vs_STAD,GHR_PPP1R1A,GHR,PPP1R1A
BRCA_vs_STAD,GHR_PRRT4,GHR,PRRT4
BRCA_vs_STAD,GLP2R_LINC01537,GLP2R,LINC01537
BRCA_vs_STAD,GLP2R_NKAPL,GLP2R,NKAPL
BRCA_vs_STAD,GLP2R_NPR1,GLP2R,NPR1
BRCA_vs_STAD,GLP2R_PPP1R1A,GLP2R,PPP1R1A
BRCA_vs_STAD,IGFBP6_MYOC,IGFBP6,MYOC
BRCA_vs_STAD,INHBA_TMEM252,INHBA,TMEM252
BRCA_vs_STAD,ITIH5_NKAPL,ITIH5,NKAPL
BRCA_vs_STAD,KIF14_LRRC37A9P,KIF14,LRRC37A9P
BRCA_vs_STAD,KLF15_NKAPL,KLF15,NKAPL
BRCA_vs_STAD,KY_SCN2B,KY,SCN2B
BRCA_vs_STAD,LINC01537_PPP1R1A,LINC01537,PPP1R1A
BRCA_vs_STAD,LRRC15_PKHD1L1,LRRC15,PKHD1L1
BRCA_vs_STAD,LRRC37A9P_NUF2,LRRC37A9P,NUF2
BRCA_vs_STAD,LRRC37A9P_SKA3,LRRC37A9P,SKA3
BRCA_vs_STAD,LRRC37A9P_TPX2,LRRC37A9P,TPX2
BRCA_vs_STAD,MME_PCK1,MME,PCK1
BRCA_vs_STAD,NKAPL_SPX,NKAPL,SPX
BRCA_vs_STAD,NPR1_PPP1R1A,NPR1,PPP1R1A
BRCA_vs_STAD,PDE2A_PPP1R1A,PDE2A,PPP1R1A
BRCA_vs_STAD,PPP1R1A_SORBS1,PPP1R1A,SORBS1
BRCA_vs_STAD,PPP1R1A_TMEM100,PPP1R1A,TMEM100
BRCA_vs_STAD,PPP1R1A_TMEM132C,PPP1R1A,TMEM132C
BRCA_vs_STAD,SKA3_TOP2A,SKA3,TOP2A
LUAD_vs_HNSC,AC007128.1_AIM2,AC007128.1,AIM2
LUAD_vs_HNSC,AC007128.1_MUC21,AC007128.1,MUC21
LUAD_vs_HNSC,AC009262.1_HOXB9,AC009262.1,HOXB9
LUAD_vs_HNSC,AC093895.1_HMGA2,AC093895.1,HMGA2
LUAD_vs_HNSC,ADGRF1_ARTN,ADGRF1,ARTN
LUAD_vs_HNSC,ADH1B_B4GALNT1,ADH1B,B4GALNT1
LUAD_vs_HNSC,B4GALNT1_CA3,B4GALNT1,CA3
LUAD_vs_HNSC,B4GALNT1_GDF10,B4GALNT1,GDF10
LUAD_vs_HNSC,C1QTNF7_SHOX2,C1QTNF7,SHOX2
LUAD_vs_HNSC,CA9_ZFPM2-AS1,CA9,ZFPM2-AS1
LUAD_vs_HNSC,CAPN14_LINC02156,CAPN14,LINC02156
LUAD_vs_HNSC,CAPN5_PNCK,CAPN5,PNCK
LUAD_vs_HNSC,CCL23_DNAH17-AS1,CCL23,DNAH17-AS1
LUAD_vs_HNSC,CDKN2A_DUSP9,CDKN2A,DUSP9
LUAD_vs_HNSC,CNTNAP2_DUSP9,CNTNAP2,DUSP9
LUAD_vs_HNSC,COL10A1_IGHV1-24,COL10A1,IGHV1-24
LUAD_vs_HNSC,COL3A1_TNXB,COL3A1,TNXB
LUAD_vs_HNSC,CYP2F1_PNCK,CYP2F1,PNCK
LUAD_vs_HNSC,CYP2F1_RAB3B,CYP2F1,RAB3B
LUAD_vs_HNSC,DISP3_SLCO1A2,DISP3,SLCO1A2
LUAD_vs_HNSC,ECRG4_RAB3B,ECRG4,RAB3B
LUAD_vs_HNSC,FAM172BP_TERT,FAM172BP,TERT
LUAD_vs_HNSC,GDF10_SHOX2,GDF10,SHOX2
LUAD_vs_HNSC,GNGT1_ONECUT1,GNGT1,ONECUT1
LUAD_vs_HNSC,HMGA2_HOXB9,HMGA2,HOXB9
LUAD_vs_HNSC,HOXC11_MMP1,HOXC11,MMP1
LUAD_vs_HNSC,HOXC6_MYO3B,HOXC6,MYO3B
LUAD_vs_HNSC,HOXC8_MMP3,HOXC8,MMP3
LUAD_vs_HNSC,HSPB6_SHOX2,HSPB6,SHOX2
LUAD_vs_HNSC,IGHG4_LINC02156,IGHG4,LINC02156
LUAD_vs_HNSC,IGHV1-24_MMP11,IGHV1-24,MMP11
LUAD_vs_HNSC,LINC00460_ZIC2,LINC00460,ZIC2
LUAD_vs_HNSC,MMP12_ZFPM2-AS1,MMP12,ZFPM2-AS1
LUAD_vs_HNSC,MMRN1_SHOX2,MMRN1,SHOX2
LUAD_vs_HNSC,MUC21_NMRAL2P,MUC21,NMRAL2P
LUAD_vs_HNSC,MYZAP_SLC6A4,MYZAP,SLC6A4
LUAD_vs_HNSC,ONECUT2_PAEP,ONECUT2,PAEP
LUAD_vs_HNSC,ONECUT2_SCAT1,ONECUT2,SCAT1
LUAD_vs_HNSC,TMEM100_UCHL1,TMEM100,UCHL1
LUAD_vs_STAD,ABCA8_ACTN2,ABCA8,ACTN2
LUAD_vs_STAD,ABCA8_SULF1,ABCA8,SULF1
LUAD_vs_STAD,ABCG2_ENPP3,ABCG2,ENPP3
LUAD_vs_STAD,ABI3BP_BMPER,ABI3BP,BMPER
LUAD_vs_STAD,ABI3BP_SULF1,ABI3BP,SULF1
LUAD_vs_STAD,ABI3BP_THBS2,ABI3BP,THBS2
LUAD_vs_STAD,AC004554.1_AGTR1,AC004554.1,AGTR1
LUAD_vs_STAD,AC004554.1_BARX1,AC004554.1,BARX1
LUAD_vs_STAD,AC004554.1_BHMT2,AC004554.1,BHMT2
LUAD_vs_STAD,AC004554.1_RSPO2,AC004554.1,RSPO2
LUAD_vs_STAD,AC004554.1_SULF1,AC004554.1,SULF1
LUAD_vs_STAD,AC007877.1_NPC1L1,AC007877.1,NPC1L1
LUAD_vs_STAD,AC007877.1_SLC7A9,AC007877.1,SLC7A9
LUAD_vs_STAD,AC034105.1_JSRP1,AC034105.1,JSRP1
LUAD_vs_STAD,AC034105.1_TNFSF11,AC034105.1,TNFSF11
LUAD_vs_STAD,AC103718.1_LINC01705,AC103718.1,LINC01705
LUAD_vs_STAD,AC131097.2_FEZF1,AC131097.2,FEZF1
LUAD_vs_STAD,AC134879.2_JSRP1,AC134879.2,JSRP1
LUAD_vs_STAD,AC135068.3_PRAME,AC135068.3,PRAME
LUAD_vs_STAD,AC142381.1_EME1,AC142381.1,EME1
LUAD_vs_STAD,AC142381.1_EXO1,AC142381.1,EXO1
LUAD_vs_STAD,AC142381.1_JSRP1,AC142381.1,JSRP1
LUAD_vs_STAD,AC142381.1_SKA3,AC142381.1,SKA3
LUAD_vs_STAD,ACKR1_LINC01614,ACKR1,LINC01614
LUAD_vs_STAD,ACKR1_SULF1,ACKR1,SULF1
